Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
2603026,Jesus-Shock,Peter Kreeft,"Kreeft, Peter",,"=""1587313944""","=""9781587313943""",5,4.11,St. Augustines Press,Hardcover,176,2008,2008,,2013/11/26,,,read,,,,1,,,0,,,,,
899146,Manalive,G.K. Chesterton,"Chesterton, G.K.",,"=""0486414051""","=""9780486414058""",5,4.19,Dover Publications,Paperback,160,2000,1912,,2013/11/21,,,read,,,,1,,,0,,,,,
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618346252""","=""9780618346257""",5,4.36,Houghton Mifflin Harcourt,Paperback,398,2003,1954,,2013/07/09,,,read,,,,1,,,0,,,,,
30633,The Four Loves,C.S. Lewis,"Lewis, C.S.",,"=""0006280897""","=""9780006280897""",5,4.14,HarperCollins Publishers Ltd,Paperback,170,2002,1960,,2013/10/18,,,read,,,,1,,,0,,,,,
2199561,When You Are an RCIA Sponsor: Handing on the Faith,Rita Burns Senseman,"Senseman, Rita Burns",,"=""0867164492""","=""9780867164497""",4,4.33,St. Anthony Messenger Press,Paperback,63,2001,2001,,2013/10/16,,,read,,,,1,,,0,,,,,
10705367,Grow by Focusing on What Matters: Competitive Strategy in 3 Circles,Joel Urbany,"Urbany, Joel",Joel Urbany,"=""1606490923""","=""9781606490921""",3,4.12,Business Expert Press,Paperback,234,2011,2010,,2013/10/14,,,read,,,,1,,,0,,,,,
4687506,Breakthrough Marketing Plans: How to Stop Wasting Time and Start Driving Growth,Tim Calkins,"Calkins, Tim",,"=""0230607578""","=""9780230607576""",3,3.81,Palgrave Macmillan,Paperback,184,2008,2008,,2013/10/14,,,read,,,,1,,,0,,,,,
1909043,Negotiation Genius: How to Overcome Obstacles and Achieve Brilliant Results at the Bargaining Table and Beyond,Deepak Malhotra,"Malhotra, Deepak",Max H. Bazerman,"=""055380488X""","=""9780553804881""",4,4.18,Bantam,Hardcover,352,2007,2007,,2013/10/14,,,read,,,,1,,,0,,,,,
313605,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,"Fisher, Roger","William Ury, Bruce Patton","=""0140157352""","=""9780140157352""",3,3.94,Penguin Group,Paperback,224,1991,1981,,2013/10/14,,,read,,,,1,,,0,,,,,
313011,How the Catholic Church Built Western Civilization,Thomas E. Woods Jr.,"Jr., Thomas E. Woods",,"=""0895260387""","=""9780895260383""",0,4.11,Regnery History,Hardcover,280,2005,2005,,2013/10/14,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
883436,Handbook of Christian Apologetics,Peter Kreeft,"Kreeft, Peter",Ronald K. Tacelli,"=""0830817743""","=""9780830817740""",0,4.22,IVP Academic,Paperback,406,1994,1994,,2013/10/14,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
